Inflammation,Mitochondria,Calcium,Epigenetic,infl,mito,calc,tf,chromatin
Il17d,Cox6c,Tmem110,Paf1,Cish,Aldh2,Vdac1,Zeb1,Paf1
Cish,Atp5f1,Vamp2,Zeb1,G6pdx,NA.1,NA.4,Larp7,Wiz
Cmtm8,Cox7b,Homer1,Larp7,Hmgb1,Slc25a47,Stim2,Atf5,Yaf2
Tril,Sdhc,Bzrap1,Hmgn3,Scamp5,Sdhc,Orai2,Supt5,Cbx5
Nod1,Timm17a,Gch1,Atf5,Jak2,Ndufs8,Plcb1,Med11,Hmgn3
Il1r1,Mpc2,Cadps,Sox9,Grk6,Cox7b,Ptgfr,Mafb,Phf21a
Inha,Immp1l,Gpr30,Cbx5,Nfatc1,Ndufb4,Gpr30,Bend3,Whsc1
Selp,Vdac1,Adcyap1r1,Yaf2,Plcb1,Cox6c,NA.5,Zfp217,Ehmt1
Cxcr7,Ndufb4,Alms1,Brd8,Panx1,Atp5f1,Cacnb3,E4f1,Asxl2
Panx1,Mrpl13,C1ra,Ehmt1,Mylk,Bcs1l,Slc8a1,Nfyb,Kansl2
Plcb1,Ptpmt1,Akap5,Nfyb,Gpr30,Nubpl,Cacnb2,Zcchc12,Brd8
Pls1,Slc25a47,Nfatc1,Supt5,Cxcr7,Taco1,,Hivep1,L3mbtl2
Casp12,Bcs1l,Orai2,Whsc1,Selp,Adck1,,Atf7,Npat
Mdk,Rab3d,Ptgfr,Hivep1,Ninl,Coa4,,Zfp37,Mllt10
Pdzd2,Chdh,Capn10,Lrif1,Ptgfr,NA.2,,Zbtb1,Phf19
Il13ra1,Taco1,Cacnb2,Zbtb1,Pls1,Mrpl13,,Sertad3,Pcgf6
Napepld,Lipt2,Cdh20,Mtf2,,Immp1l,,Klf10,L3mbtl3
Ptgfr,Abca8b,Cacnb3,Asxl2,,Timm17a,,Fezf2,Suv39h2
Nfatc1,Rnmtl1,Fbln7,Rngtt,,Mrpl20,,Rad54l2,Ncoa3
Malt1,G0s2,Ninl,Npat,,Hsp90ab1,,,Spin4
Usp18,Prr5l,Rims2,Phf21a,,Mrpl52,,,Mtf2
Smpdl3b,Mthfd2l,Efcab2,L3mbtl2,,Timm10b,,,Mbd4
Cdk19,Trmt61b,Rapgef4,Klf10,,Rpl35a,,,Lrif1
Zfyve26,Secisbp2,Selp,Mllt10,,Timm44,,,Brpf3
Gpr30,Slc25a44,Cxcr7,Wiz,,Secisbp2,,,Suv420h2
Ccl25,Smcr7,Panx1,Phf19,,Trmt61b,,,Mbd5
Mcph1,Cdk5rap1,Mylk,Spin4,,Rab3d,,,
Eif2ak1,Coa4,Dgkg,Bcdin3d,,Mrpl1,,,
Tbc1d23,Wars2,Pls1,Suv39h2,,Wars2,,,
Elf1,Fastkd5,Plcb1,Mettl18,,NA.3,,,
Sdc1,Nubpl,Spock1,Ncoa3,,Ptpmt1,,,
Snx15,Aldh2,Vdac1,L3mbtl3,,Acad8,,,
Zfp287,Isca1,Gnas,Med11,,Mboat7,,,
Cspg4,Ndufs8,Calm1,Zfp37,,Cerk,,,
Mylk,Akr1b10,Tpt1,Brpf3,,Acp6,,,
Met,Tmem256,Slc8a1,Rad54l2,,Abca8b,,,
Grk6,Rnf5,Rcan3,Suv420h2,,Tango2,,,
Scyl3,Timm10b,Slc25a25,Gamt,,Lipt2,,,
Hsp90ab1,Slc25a36,Jak2,Kansl2,,,,,
Lxn,Slc25a25,Scamp5,Zcchc12,,,,,
Hdgf,Tango2,Stim2,Pcgf6,,,,,
Rps19,Slc30a6,Gnptab,E4f1,,,,,
Agpat1,Timm44,Tspan13,Zfp217,,,,,
Scamp5,Acad8,Cpne8,Hnmt,,,,,
G6pdx,Tusc2,G6pdx,Fezf2,,,,,
Zfp580,,Hmgb1,Mbd5,,,,,
Hmgb1,,Mnat1,Prmt8,,,,,
Rb1,,,Bend3,,,,,
Smad6,,,Mafb,,,,,
Jak2,,,Mbd4,,,,,
Tusc2,,,Atf7,,,,,
Alg5,,,Sertad3,,,,,
Lias,,,,,,,,
Tgfbr2,,,,,,,,
